Name,Type,Status,City,State_Province,Country,Latitude,Longitude,Google,Website,Facebook,Instagram,URL,Yelp,TripAdvisor,Untappd,GLINTCAP,ShopCiders,Alternate_Name,TTB
Bowers Harbor Vineyards,Producer,Active,Traverse City,Michigan,USA,44.891683,-85.517257,https://maps.google.com/?cid=4919708806846257834,https://www.bowersharbor.com/,https://www.facebook.com/bowersharborvineyards,,https://www.bowersharbor.com/,https://www.yelp.com/biz/bowers-harbor-vineyards-traverse-city,https://www.tripadvisor.com/Attraction_Review-g42758-d2235194,https://untappd.com/w/bowers-harbor-vineyards/16919,,,,
Cherry Creek Cellars,Producer,Active,Albion,Michigan,USA,42.265117,-84.648542,https://www.google.com/maps?cid=5214593983043043226,http://www.cherrycreekwine.com/,https://www.facebook.com/cherrycreekcellars,https://www.instagram.com/cherrycreekcellars/,http://www.cherrycreekwine.com/,https://www.yelp.com/biz/cherry-creek-cellars-parma,,https://untappd.com/w/cherry-creek-winery/231391,http://glintcap.org/cherry-creek-cellars/,,,MI-W-21274
Cherry Republic,Producer,Active,Traverse City,Michigan,USA,44.763951,-85.621553,https://maps.google.com/?cid=8557292698577179317,http://www.cherryrepublic.com/,https://www.facebook.com/cherryrepublic,https://www.instagram.com/cherryrepublic/,http://www.cherryrepublic.com/,https://www.yelp.com/biz/cherry-republic-traverse-city,https://www.tripadvisor.com/Attraction_Review-g42758-d2084767,https://untappd.com/w/cherry-republic/20986,,,,
Corey Lake Orchards,Producer,Active,Three Rivers,Michigan,USA,41.919986,-85.718213,https://maps.google.com/?cid=6754574994081328972,http://www.coreylakeorchards.com/,https://www.facebook.com/Corey-Lake-Orchards-131227153607072,https://www.instagram.com/coreylakeorchards/,http://www.coreylakeorchards.com/,https://www.yelp.com/biz/corey-lake-orchards-three-rivers,https://www.tripadvisor.com/Attraction_Review-g42753-d7709570,https://untappd.com/w/corey-lake-orchards/170827,http://glintcap.org/corey-lake-orchards/,,,
Crane's Pie Pantry,Producer,Active,Fennville,Michigan,USA,42.593558,-86.136817,https://maps.google.com/?cid=9243637306840574589,http://cranespiepantry.com/,https://www.facebook.com/cranespiepantryandwinery,,http://cranespiepantry.com/,https://www.yelp.com/biz/cranes-pie-pantry-restaurant-and-winery-fennville,https://www.tripadvisor.com/Restaurant_Review-g42198-d636364,https://untappd.com/w/cranes-winery/166328,,,,
Forgotten Ciders,Producer,Active,Wheeler,Michigan,USA,43.466119,-84.411417,https://maps.google.com/?cid=10173533007095288580,,https://www.facebook.com/EastmansForgottenCiders,https://www.instagram.com/mrsforgottenciders/,https://www.instagram.com/mrsforgottenciders/,https://www.yelp.com/biz/eastmans-forgotten-ciders-wheeler,,https://untappd.com/w/eastmans-forgotten-ciders/185888,http://glintcap.org/forgotten-ciders/,,,MI-W-21049
Farmhaus Cider Co.,Producer,Active,Hudsonville,Michigan,USA,42.936623,-85.909009,https://maps.google.com/?cid=11406839464047037046,http://farmhauscider.com/,https://www.facebook.com/FarmhausCiderCo,https://www.instagram.com/farmhauscider/,http://farmhauscider.com/,https://www.yelp.com/biz/farmhaus-cider-co-hudsonville,https://www.tripadvisor.com/Restaurant_Review-g42328-d19805781,https://untappd.com/w/farmhaus-cider-co/166600,http://glintcap.org/farmhaus-cider-co/,https://shopciders.com/farmhaus_cider_co,,MI-W-21384
Fenn Valley Vineyards,Producer,Active,Fennville,Michigan,USA,42.577827,-86.144125,https://www.google.com/maps?cid=4038197022279286991,https://www.fennvalley.com/,https://www.facebook.com/FennValley,https://www.instagram.com/fennvalley/,https://www.fennvalley.com/,https://www.yelp.com/biz/fenn-valley-vineyards-and-wine-cellar-fennville,https://www.tripadvisor.com/Attraction_Review-g42198-d1748271,https://untappd.com/w/fenn-valley-vineyards/251868,https://glintcap.org/results/commercial/medalists/fenn-valley-vineyards/,,,
Fourth Coast Ciderworks,Producer,Active,Lake Orion,Michigan,USA,42.7457157,-83.2832693,https://maps.google.com/?cid=16743566446213207343,https://fourthcoastciderworks.com/,https://www.facebook.com/fourthcoastciderworks,https://www.instagram.com/4cciderworks/,https://fourthcoastciderworks.com/,,https://www.tripadvisor.com/Attraction_Review-g42384-d21375933-Reviews-Fourth_Coast_Ciderworks-Lake_Orion_Michigan.html,https://untappd.com/w/fourth-coast-ciderworks/325571,https://glintcap.org/results/commercial/medalists/fourth-coast-ciderworks/,,,MI-W-21206
Gitche Gumee Ciderworks,Producer,Active,Hancock,Michigan,USA,47.13051,-88.585233,https://maps.google.com/?cid=18179674516069463473,http://www.gitchegumeeciderworks.com/,https://www.facebook.com/GitcheGumeeCiderworks,https://www.instagram.com/gitchegumeeciderworks/,http://www.gitchegumeeciderworks.com/,,,https://untappd.com/w/gitche-gumee-ciderworks/366728,,,,MI-W-21193
Green Bird Cellars,Producer,Active,Northport,Michigan,USA,45.108463,-85.65037,https://maps.google.com/?cid=10177780962923415301,http://www.greenbirdcellars.com/,https://www.facebook.com/greenbirdcellars,,http://www.greenbirdcellars.com/,https://www.yelp.com/biz/green-bird-cellars-and-organic-farms-northport,https://www.tripadvisor.com/Attraction_Review-g42531-d3473816,https://untappd.com/w/green-bird-organic-cellars/275693,http://glintcap.org/crows-hard-cider/,https://shopciders.com/green_bird_organic_cellars,,
Blackgrass Ciderworks,Producer,Active,Birmingham,Michigan,USA,42.543611,-83.195536,https://maps.google.com/?cid=706094858439654713,https://www.blackgrasscider.com/,https://www.facebook.com/blackgrasscider,https://www.instagram.com/BlackgrassCider/,https://www.blackgrasscider.com/,https://www.yelp.com/biz/griffin-claw-brewing-company-birmingham,https://www.tripadvisor.com/Restaurant_Review-g41996-d4565497,https://untappd.com/BlackgrassCiderworks,https://glintcap.org/results/commercial/medalists/blackgrass-ciderworks/,https://shopciders.com/blackgrass_ciderworks,Griffin Claw Brewing Company,MI-W-21045
Kuhnhenn Brewing Co.,Producer,Active,Warren,Michigan,USA,42.527768,-83.046765,https://maps.google.com/?cid=15962690616595599148,http://www.kbrewery.com/,https://www.facebook.com/KuhnhennBrewingCo,,http://www.kbrewery.com/,https://www.yelp.com/biz/kuhnhenn-brewing-warren,https://www.tripadvisor.com/Restaurant_Review-g42794-d1198782,https://untappd.com/w/kuhnhenn-brewing-company/4557,http://glintcap.org/results/commercial/medalists/kuhnhenn-brewing/,,,
Mawby Vineyards,Producer,Active,Suttons Bay,Michigan,USA,44.913676,-85.65229,https://www.google.com/maps?cid=2471409306317185463,https://mawby.wine/,https://www.facebook.com/MAWBYwinery,https://www.instagram.com/mibubbly/,https://mawby.wine/,https://www.yelp.com/biz/l-mawby-vineyards-suttons-bay,https://www.tripadvisor.com/Attraction_Review-g42743-d2290474,https://untappd.com/w/mawby/272550,http://glintcap.org/mawby-vineyards/,,,
Lansing Brewing Company,Producer,Active,Lansing,Michigan,USA,42.736982,-84.545555,https://maps.google.com/?cid=1589907615439698736,http://www.lansingbrewingcompany.com/,https://www.facebook.com/LansingBrewing,https://www.instagram.com/kuhnhennbrewing/,http://www.lansingbrewingcompany.com/,https://www.yelp.com/biz/lansing-brewing-company-lansing,https://www.tripadvisor.com/Restaurant_Review-g42391-d8659918,https://untappd.com/w/lansing-brewing-company/213602,,,,
Left Foot Charley,Producer,Active,Traverse City,Michigan,USA,44.756339,-85.645097,https://maps.google.com/?cid=16198693468177995981,http://www.leftfootcharley.com/,https://www.facebook.com/LeftFootCharleyWinery,https://www.instagram.com/leftfootcharley/,http://www.leftfootcharley.com/,http://www.yelp.com/biz/left-foot-charley-traverse-city,http://www.tripadvisor.com/Attraction_Review-g42758-d1748277,https://untappd.com/w/left-foot-charley/8694,http://glintcap.org/left-foot-charley/,https://shopciders.com/left_foot_charley,,MI-W-15011
Lehman's Orchards,Producer,Active,Buchanan,Michigan,USA,41.8286715,-86.3576005,https://maps.google.com/?cid=15791562542672343306,http://www.lehmansfarmhouse.com/,https://www.facebook.com/LehmansFarmHouse/,https://www.instagram.com/lehmansfarmhouse/,http://www.lehmansfarmhouse.com/,https://www.yelp.com/biz/lehmans-farmhouse-buchanan,https://www.tripadvisor.com/Restaurant_Review-g42026-d13999393,https://untappd.com/w/lehmans-orchard/8251,http://glintcap.org/lehmans-orchards/,,Lehman's Orchard,MI-W-21145
